frame,time_s,x_pixel,y_pixel,x_meter,y_meter
0,0.0000,1231.8,616.0,-0.0039,1.0926
1,0.0352,1228.7,613.2,-0.0368,1.1223
2,0.0705,1224.3,605.3,-0.0834,1.2061
3,0.1057,1220.3,597.6,-0.1258,1.2878
4,0.1410,1216.7,590.3,-0.1640,1.3652
5,0.1762,1213.0,584.0,-0.2033,1.4320
6,0.2115,1209.7,578.0,-0.2383,1.4957
7,0.2467,1205.7,572.0,-0.2807,1.5593
8,0.2820,1205.9,571.3,-0.2786,1.5667
9,0.3172,1197.8,556.6,-0.3645,1.7227
10,0.3524,1196.1,554.6,-0.3825,1.7439
11,0.3877,1190.5,543.8,-0.4419,1.8584
12,0.4229,1186.3,536.3,-0.4865,1.9380
13,0.4582,1186.5,536.0,-0.4844,1.9412
14,0.4934,1180.2,523.0,-0.5512,2.0790
15,0.5287,1178.1,520.2,-0.5735,2.1087
16,0.5639,1172.2,514.0,-0.6360,2.1745
17,0.5992,1167.6,507.0,-0.6848,2.2487
18,0.6344,1164.7,500.7,-0.7156,2.3156
19,0.6697,1161.7,494.4,-0.7474,2.3824
20,0.7049,1158.7,488.4,-0.7792,2.4460
21,0.7401,1155.4,482.4,-0.8142,2.5097
22,0.7754,1151.7,476.4,-0.8535,2.5733
23,0.8106,1150.1,473.5,-0.8704,2.6041
24,0.8459,1143.1,465.3,-0.9447,2.6911
25,0.8811,1140.4,459.7,-0.9733,2.7504
26,0.9164,1139.1,458.6,-0.9871,2.7621
27,0.9516,1133.2,447.8,-1.0497,2.8767
28,0.9869,1130.7,444.9,-1.0762,2.9074
29,1.0221,1125.3,438.0,-1.1335,2.9806
30,1.0573,1122.0,432.7,-1.1685,3.0368
31,1.0926,1121.8,432.0,-1.1706,3.0443
32,1.1278,1114.8,422.2,-1.2449,3.1482
33,1.1631,1112.1,418.8,-1.2735,3.1843
34,1.1983,1107.3,410.6,-1.3244,3.2712
35,1.2336,1102.3,405.1,-1.3774,3.3296
36,1.2688,1101.1,400.8,-1.3902,3.3752
37,1.3041,1097.0,395.1,-1.4337,3.4356
38,1.3393,1093.7,390.1,-1.4687,3.4887
39,1.3746,1090.0,386.5,-1.5079,3.5269
40,1.4098,1088.1,383.2,-1.5281,3.5619
41,1.4450,1082.5,377.7,-1.5875,3.6202
42,1.4803,1079.0,372.4,-1.6246,3.6764
43,1.5155,1079.2,372.4,-1.6225,3.6764
44,1.5508,1071.4,365.0,-1.7052,3.7549
45,1.5860,1069.1,361.2,-1.7296,3.7952
46,1.6213,1064.3,355.4,-1.7805,3.8567
47,1.6565,1061.4,350.8,-1.8113,3.9055
48,1.6918,1051.0,339.5,-1.9216,4.0254
49,1.7270,1047.4,334.4,-1.9598,4.0795
50,1.7622,1042.6,330.1,-2.0107,4.1251
51,1.7975,1039.0,326.1,-2.0489,4.1675
